ACT Symbol,Security Name,Exchange,CQS Symbol,ETF,Round Lot Size,Test Issue,NASDAQ Symbol
AYI,"Acuity Brands, Inc. ",N,AYI,N,100,N,AYI
AZEK,The AZEK Company Inc. Class A Common Stock,N,AZEK,N,100,N,AZEK
AZO,"AutoZone, Inc. Common Stock",N,AZO,N,100,N,AZO
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares),N,AZUL,N,100,N,AZUL
AZZ,AZZ Inc.,N,AZZ,N,100,N,AZZ
B,"Barnes Group, Inc. Common Stock",N,B,N,100,N,B
BA,Boeing Company (The) Common Stock,N,BA,N,100,N,BA
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,N,BABA,N,100,N,BABA
BAC,Bank of America Corporation Common Stock,N,BAC,N,100,N,BAC
BAC$B,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 6.000% Non-Cumulative Preferred Stock, Series GG",N,BACpB,N,100,N,BAC-B
BAC$E,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,N,BACpE,N,100,N,BAC-E
BAC$K,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.875% Non- Cumulative Preferred Stock, Series HH",N,BACpK,N,100,N,BAC-K
BAC$L,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,N,BACpL,N,10,N,BAC-L
BAC$M,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.375% Non-Cumulative Preferred Stock, Series KK",N,BACpM,N,100,N,BAC-M
BAC$N,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 5.000% Non-Cumulative Preferred Stock, Series LL",N,BACpN,N,100,N,BAC-N
BAC$O,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.375% Non-Cumulative Preferred Stock, Series NN",N,BACpO,N,100,N,BAC-O
BAC$P,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 4.125% Non-Cumulative Preferred Stock, Series PP",N,BACpP,N,100,N,BAC-P
