,pair,coint_score,pvalue
1672,"('CNC', 'FE')",-3.5912329085530748,0.025120189221338216
280,"('AMD', 'BX')",-3.5910921620770844,0.025130228752985248
3782,"('EXE', 'MCHP')",-3.59107200473306,0.025131666871424402
3532,"('ERIE', 'HST')",-3.59099125639367,0.025137428543233042
4436,"('IR', 'PRU')",-3.5906659338334834,0.025160652952204317
5607,"('TSCO', 'WDAY')",-3.5904864025407615,0.025173477398139445
1320,"('BXP', 'CARR')",-3.5902132073303377,0.02519300333172975
4821,"('LII', 'TROW')",-3.5901256473859084,0.025199264215430305
2533,"('CPAY', 'NTRS')",-3.5901151932311004,0.02520001181853207
352,"('ABNB', 'ROK')",-3.590069168992178,0.025203303355609944
1822,"('CNC', 'PEG')",-3.5900554847688277,0.02520428208802393
4254,"('HES', 'LII')",-3.5900276998395473,0.025206269441491708
1356,"('CHRW', 'DOW')",-3.589986248140711,0.025209234579363835
3991,"('F', 'NEE')",-3.589948430433393,0.02521194003123815
1112,"('BAC', 'SW')",-3.5899046226635685,0.025215074320459434
2327,"('CHD', 'MTCH')",-3.589829419676136,0.025220455607521907
4554,"('JKHY', 'LDOS')",-3.5898082380045047,0.025221971479180386
3361,"('EOG', 'MTD')",-3.589732490607233,0.025227393002632242
3014,"('EBAY', 'PEP')",-3.5896627420773224,0.025232386052126694
1923,"('CNP', 'PPG')",-3.5895869989723344,0.02523780919565653
4224,"('DOC', 'NEE')",-3.5894220660747416,0.025249621726453654
5547,"('SNPS', 'URI')",-3.5894174968449306,0.025249949043462106
2711,"('FANG', 'IRM')",-3.5893576163780656,0.025254238921395063
5507,"('SNA', 'VST')",-3.588836164628149,0.02529162261666915
5639,"('VLO', 'XYL')",-3.5887416847580167,0.025298401122607683
746,"('ACGL', 'CARR')",-3.588665604751844,0.025303860657765322
562,"('AMP', 'SNPS')",-3.5885063547304816,0.025315291793970587
2341,"('CI', 'OTIS')",-3.5885046986298046,0.025315410693993894
2655,"('DRI', 'POOL')",-3.5884730255256074,0.025317684762293888
5255,"('PCAR', 'ZBRA')",-3.588472347705218,0.02531773343042327
5555,"('TTWO', 'WTW')",-3.588441340378169,0.025319959871229453
1686,"('CNC', 'GNRC')",-3.5881357069979005,0.02534191449880211
3129,"('ELV', 'WRB')",-3.5881072842747628,0.025343957026897318
2901,"('DTE', 'PNR')",-3.587887655588943,0.025359744873386752
3687,"('ERIE', 'VZ')",-3.5875649820307522,0.02538295537992002
2947,"('EBAY', 'EXE')",-3.587534664345507,0.02538513712659684
2969,"('EBAY', 'HRL')",-3.587486566985657,0.025388598680280622
4136,"('GPC', 'NUE')",-3.587156794896782,0.025412343230546357
2586,"('COST', 'TRMB')",-3.586990565671916,0.025424319462437322
819,"('ACGL', 'MHK')",-3.5868261376613004,0.02543617070192212
1655,"('CNC', 'EPAM')",-3.586453496323386,0.025463046630208926
4313,"('HES', 'UDR')",-3.586433602980801,0.02546448208022754
4472,"('INTC', 'VICI')",-3.5861825565067584,0.02548260290323977
1563,"('CBRE', 'CTSH')",-3.586022302550178,0.025494176019886766
4882,"('L', 'UPS')",-3.5858132447825075,0.025509280417395634
3642,"('ERIE', 'RMD')",-3.5856278392253644,0.025522682388137635
697,"('AON', 'PGR')",-3.5853921534964086,0.02553972758805551
1861,"('CNC', 'TMUS')",-3.5853550732827113,0.025542410184867925
5514,"('SNA', 'WST')",-3.585354085953858,0.025542481617253126
5519,"('SOLV', 'SBUX')",-3.5851595461793138,0.025556559755111615
2529,"('GLW', 'RCL')",-3.5848979924832762,0.025575497969454426
4939,"('MCD', 'PWR')",-3.584796328425123,0.02558286237660568
4779,"('KLAC', 'RL')",-3.5847884643751824,0.025583432113786057
4350,"('HD', 'IVZ')",-3.584787173103844,0.025583525665264322
1634,"('CNC', 'DE')",-3.5847665743327894,0.02558501806799632
4411,"('IDXX', 'LRCX')",-3.5846412725692782,0.025594097926921806
2636,"('CVS', 'WELL')",-3.584638541713084,0.025594295846375185
2622,"('CSX', 'TXT')",-3.58452517298472,0.025602513434094323
4399,"('HII', 'PODD')",-3.584317896053809,0.025617543873161504
5169,"('NI', 'WTW')",-3.5841799524545155,0.0256275508951673
2632,"('CVS', 'ROST')",-3.584149546286622,0.02562975714165713
2652,"('DRI', 'LMT')",-3.584010201962396,0.025639869941403097
2377,"('CFG', 'MAR')",-3.584000912175174,0.025640544262111035
3341,"('EOG', 'IR')",-3.5838674563052386,0.025650233149377255
1656,"('CNC', 'EQIX')",-3.5837806813818545,0.025656534692650806
5593,"('TSCO', 'WMT')",-3.5836874582878613,0.02566330598209527
4961,"('MET', 'NOW')",-3.583586962810846,0.025670607225275578
3598,"('ERIE', 'MSI')",-3.583161210359373,0.025701559010539516
787,"('ACGL', 'GRMN')",-3.5830150082593804,0.02571219516164799
5638,"('UPS', 'VRSN')",-3.582999169854957,0.025713347627235175
1849,"('CNC', 'SOLV')",-3.5829628899952595,0.02571598766223708
4064,"('GRMN', 'WTW')",-3.582899096410118,0.025720630398250642
4527,"('IRM', 'MLM')",-3.58264408868758,0.025739196418197264
4227,"('DOC', 'TXT')",-3.582594159165138,0.025742832921952393
3131,"('ELV', 'WEC')",-3.582590574734848,0.025743094002819367
5611,"('TSCO', 'YUM')",-3.582540960224925,0.025746708032596436
2550,"('CSGP', 'ICE')",-3.5825119968911894,0.025748817987108135
2156,"('CVX', 'MNST')",-3.5824725633046426,0.02575169092981591
3599,"('ERIE', 'MSCI')",-3.58245578903587,0.02575291310647467
736,"('ACGL', 'AVY')",-3.582335933284519,0.02576164727291276
3265,"('ENPH', 'TGT')",-3.5822223207701387,0.025769928832200653
3375,"('EOG', 'PYPL')",-3.582206415537535,0.0257710883953322
4088,"('GD', 'MKTX')",-3.582014259553894,0.025785100978836555
1545,"('CAT', 'PTC')",-3.58159478694696,0.025815712930645853
2811,"('D', 'LEN')",-3.5815739348597924,0.025817235473441908
229,"('AOS', 'UDR')",-3.5815423540493065,0.02581954153523954
1175,"('BX', 'FDX')",-3.5814518864431477,0.025826148549256474
3318,"('EOG', 'FRT')",-3.581415256264909,0.025828824131372156
994,"('ADP', 'DGX')",-3.580954401610898,0.025862506758649817
2724,"('DLR', 'LII')",-3.580892504288582,0.02586703354338747
3195,"('ENPH', 'LHX')",-3.580855136802843,0.025869766698417434
3688,"('ERIE', 'VRTX')",-3.5805163856223743,0.025894555171678473
1366,"('CHRW', 'FRT')",-3.5802835916491165,0.025911601952801552
3557,"('ERIE', 'KDP')",-3.5802438748023873,0.02591451125770849
1252,"('BMY', 'UHS')",-3.5802382916737177,0.025914920250848253
523,"('AIG', 'HST')",-3.580232624298715,0.025915335421145134
1598,"('CNC', 'CRL')",-3.580194359372527,0.025918138713485816
3679,"('ERIE', 'UNP')",-3.580024807018654,0.02593056327331024
4406,"('IEX', 'SNPS')",-3.5799942191442047,0.025932805255213333
3636,"('ERIE', 'QCOM')",-3.579629494301965,0.025959551126927514
